",,,,,,,,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,,-additional"
"Class.,Jogador,Nação,Pos.,Equipe,Camp.,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999"
"531,Daniel Ciofani,it ITA,AT,Cremonese,it Serie A,37-250,1985,25,6,697,7.7,6,0,6,3,3,4,1,0,5.1,1.8,0.5,23,5,5,28,077,000,077,039,039,065,006,072,023,030,Partidas,b09a3ecc"
"532,Tio Cipot,si SVN,ATZG,Spezia,it Serie A,19-352,2003,4,0,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,01,2,3,9,000,000,000,000,000,005,011,016,005,016,Partidas,039a4fb6"
"533,Pathé Ciss,sn SEN,LTZG,Rayo Vallecano,es La Liga,29-022,1994,24,10,1.047,11.6,1,0,1,1,0,0,4,0,2.0,2.0,0.2,22,8,54,3,009,000,009,009,009,017,002,019,017,019,Partidas,9a0408b6"
"534,Souleymane Cissé,fr FRA,ZG,Clermont Foot,fr Ligue 1,20-242,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,1,000,000,000,000,000,011,000,011,011,011,Partidas,ff4d0258"
"535,Patrick Ciurria,it ITA,ZGLT,Monza,it Serie A,28-057,1995,26,21,1.875,20.8,4,4,8,4,0,0,3,0,3.9,3.9,5.0,88,41,59,125,019,019,038,019,038,018,024,042,018,042,Partidas,5de3866c"
"536,Bobby Clark,eng ENG,LT,Liverpool,eng Premier League,18-059,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,1,2,000,000,000,000,000,000,000,000,000,000,Partidas,73341ace"
"537,Alexis Claude-Maurice,fr FRA,AT,Nice,fr Ligue 1,24-305,1998,2,1,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,0,2,1,000,000,000,000,000,012,007,018,012,018,Partidas,741418c3"
"538,Alexis Claude-Maurice,fr FRA,LTAT,Lens,fr Ligue 1,24-305,1998,16,4,502,5.6,3,2,5,3,0,0,0,0,1.1,1.1,0.8,19,10,23,40,054,036,090,054,090,020,014,033,020,033,Partidas,741418c3"
"539,Jonathan Clauss,fr FRA,ZG,Marseille,fr Ligue 1,30-194,1992,25,23,1.848,20.5,1,8,9,1,0,0,1,0,2.9,2.9,5.9,88,56,87,157,005,039,044,005,044,014,029,043,014,043,Partidas,5219ab4a"
"540,Carlos Clerc,es ESP,ZGLT,Elche,es La Liga,31-045,1992,22,21,1.743,19.4,0,1,1,0,0,0,1,0,0.6,0.6,1.4,20,41,53,80,000,005,005,000,005,003,007,010,003,010,Partidas,33a61a52"
"541,Nathaniel Clyne,eng ENG,ZG,Crystal Palace,eng Premier League,32-002,1991,21,19,1.636,18.2,0,0,0,0,0,0,3,0,0.0,0.0,0.7,07,14,52,29,000,000,000,000,000,000,004,004,000,004,Partidas,0442183b"
"542,Conor Coady,eng ENG,ZG,Everton,eng Premier League,30-041,1993,22,22,1.970,21.9,1,1,2,1,0,0,2,0,0.8,0.8,0.3,12,4,40,1,005,005,009,005,009,004,001,005,004,005,Partidas,2928dca2"
"543,Marcus Coco,fr FRA,ZGAT,Nantes,fr Ligue 1,26-287,1996,18,3,336,3.7,1,0,1,1,0,0,1,0,0.8,0.8,0.6,15,11,14,30,027,000,027,027,027,022,017,039,022,039,Partidas,3010aefb"
"544,Alexandre Coeff,fr FRA,ZG,Auxerre,fr Ligue 1,31-046,1992,7,6,586,6.5,0,1,1,0,0,0,0,0,0.1,0.1,0.3,04,3,26,9,000,015,015,000,015,001,005,006,001,006,Partidas,c4065f40"
"545,Jack Colback,eng ENG,LT,Nott'ham Forest,eng Premier League,33-165,1989,11,4,497,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,02,5,16,3,000,000,000,000,000,000,003,003,000,003,Partidas,963a9201"
"546,Séamus Coleman,ie IRL,ZG,Everton,eng Premier League,34-178,1988,21,18,1.526,17.0,1,0,1,1,0,0,1,0,0.3,0.3,0.3,06,13,50,29,006,000,006,006,006,002,002,004,002,004,Partidas,0420d84f"
"547,David Čolina,hr CRO,ZGLT,Augsburg,de Bundesliga,22-262,2000,3,0,66,0.7,1,0,1,1,0,0,0,0,0.4,0.4,0.0,05,0,2,4,136,000,136,136,136,060,006,065,060,065,Partidas,dd5bbe0d"
"548,Álex Collado,es ESP,LT,Elche,es La Liga,23-350,1999,9,8,536,6.0,1,1,2,1,0,0,1,0,0.5,0.5,0.9,14,10,16,34,017,017,034,017,034,008,016,023,008,023,Partidas,85dace26"
"549,Diego Collado,es ESP,AT,Villarreal,es La Liga,22-088,2001,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,1,3,000,000,000,000,000,000,000,000,000,000,Partidas,b3f62bfc"
"550,Omar Colley,gm GAM,ZG,Sampdoria,it Serie A,30-165,1992,16,15,1.384,15.4,1,0,1,1,0,0,5,0,1.2,1.2,0.0,12,3,33,2,007,000,007,007,007,008,000,008,008,008,Partidas,8b95acda"
"551,Nathan Collins,ie IRL,ZG,Wolves,eng Premier League,21-342,2001,20,17,1.578,17.5,0,0,0,0,0,0,2,1,0.1,0.1,0.1,02,11,60,5,000,000,000,000,000,001,000,001,001,001,Partidas,a8c19eb8"
"552,Lorenzo Colombo,it ITA,AT,Lecce,it Serie A,21-030,2002,25,14,1.266,14.1,4,2,6,4,0,1,4,0,4.5,3.7,1.4,51,12,19,101,028,014,043,028,043,032,010,042,026,037,Partidas,04df29a5"
"553,Andrea Colpani,it ITA,LT,Monza,it Serie A,23-331,1999,20,4,569,6.3,2,0,2,2,0,0,1,0,1.5,1.5,1.2,26,17,33,44,032,000,032,032,032,023,018,042,023,042,Partidas,6499048c"
"554,Levi Colwill,eng ENG,ZG,Brighton,eng Premier League,20-040,2003,9,7,643,7.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,05,10,30,1,000,000,000,000,000,005,002,007,005,007,Partidas,700783e7"
"555,Kingsley Coman,fr FRA,ATLT,Bayern Munich,de Bundesliga,26-298,1996,18,10,998,11.1,6,4,10,6,0,0,2,1,3.3,3.3,3.7,70,72,47,213,054,036,090,054,090,030,034,063,030,063,Partidas,042e8a49"
"556,Eray Cömert,ch SUI,ZG,Valencia,es La Liga,25-062,1998,20,17,1.526,17.0,1,0,1,1,0,0,4,1,0.5,0.5,0.1,05,5,50,0,006,000,006,006,006,003,000,003,003,003,Partidas,15937e17"
"557,Santi Comesaña,es ESP,LT,Rayo Vallecano,es La Liga,26-184,1996,25,19,1.638,18.2,2,0,2,2,0,0,4,0,2.1,2.1,1.1,32,19,104,43,011,000,011,011,011,012,006,017,012,017,Partidas,5ae499d0"
"558,Andrea Consigli,it ITA,G,Sassuolo,it Serie A,36-070,1987,26,26,2.340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,1,0,000,000,000,000,000,000,000,000,000,000,Partidas,8cabdc1e"
"559,Abdu Conté,pt POR,ZG,Troyes,fr Ligue 1,25-014,1998,16,13,1.177,13.1,1,2,3,1,0,0,0,0,0.6,0.6,1.9,24,30,51,87,008,015,023,008,023,004,014,019,004,019,Partidas,cfa49cc1"
"560,Andrea Conti,it ITA,ZG,Sampdoria,it Serie A,29-036,1994,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,1,2,000,000,000,000,000,000,000,000,000,000,Partidas,8fef5412"
"561,Lewis Cook,eng ENG,LT,Bournemouth,eng Premier League,26-063,1997,22,17,1.522,16.9,0,2,2,0,0,0,3,0,0.2,0.2,2.2,24,9,55,8,000,012,012,000,012,001,013,014,001,014,Partidas,2afc7272"
"562,Steve Cook,eng ENG,ZG,Nott'ham Forest,eng Premier League,31-353,1991,12,11,957,10.6,0,0,0,0,0,0,4,0,0.1,0.1,0.6,07,1,19,0,000,000,000,000,000,001,005,007,001,007,Partidas,3e5e4e63"
"563,Liam Cooper,sct SCO,ZG,Leeds United,eng Premier League,31-220,1991,14,12,1.123,12.5,1,0,1,1,0,0,2,0,1.0,1.0,0.5,15,1,26,1,008,000,008,008,008,008,004,012,008,012,Partidas,dc64b8b3"
"564,Copete,es ESP,ZG,Mallorca,es La Liga,23-179,1999,20,19,1.520,16.9,0,0,0,0,0,0,7,1,0.7,0.2,0.2,04,7,49,2,000,000,000,000,000,004,001,005,001,002,Partidas,0f26ffd7"
"565,Diego Coppola,it ITA,ZG,Hellas Verona,it Serie A,19-100,2003,13,11,1.024,11.4,0,0,0,0,0,0,5,0,0.3,0.3,0.0,03,9,37,8,000,000,000,000,000,003,000,003,003,003,Partidas,22ae86f9"
"566,Francis Coquelin,fr FRA,LT,Villarreal,es La Liga,31-329,1991,16,9,748,8.3,1,0,1,1,0,0,2,0,1.0,1.0,1.0,20,11,29,27,012,000,012,012,012,012,012,024,012,024,Partidas,a6951bf8"
"567,Sébastien Corchia,fr FRA,ZG,Nantes,fr Ligue 1,32-157,1990,21,5,712,7.9,0,1,1,0,0,0,2,0,0.2,0.2,0.3,05,21,26,61,000,013,013,000,013,002,004,006,002,006,Partidas,0e7ccfc4"
"568,Maxwel Cornet,ci CIV,AT,West Ham,eng Premier League,26-192,1996,7,1,124,1.4,0,0,0,0,0,0,0,0,0.5,0.5,0.0,05,3,4,17,000,000,000,000,000,039,000,039,039,039,Partidas,beb391dd"
"569,Jesús Corona,mx MEX,AT,Sevilla,es La Liga,30-091,1993,1,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,02,1,1,5,000,000,000,000,000,000,027,027,000,027,Partidas,fb938d24"
"570,Ángel Correa,ar ARG,ATLT,Atlético Madrid,es La Liga,28-029,1995,25,9,1.004,11.2,6,0,6,6,0,0,2,1,5.2,5.2,2.7,79,35,42,108,054,000,054,054,054,047,025,071,047,071,Partidas,01eb744d"
"571,Joaquín Correa,ar ARG,AT,Inter,it Serie A,28-237,1994,19,5,510,5.7,3,1,4,3,0,0,1,0,2.2,2.2,0.9,31,6,10,37,053,018,071,053,071,039,016,054,039,054,Partidas,45b9b619"
"572,Thierry Correia,pt POR,ZGAT,Valencia,es La Liga,24-029,1999,21,19,1.632,18.1,0,0,0,0,0,0,4,0,0.3,0.3,0.5,08,51,83,105,000,000,000,000,000,001,003,004,001,004,Partidas,c78b352d"
"573,Alessandro Cortinovis,it ITA,LT,Hellas Verona,it Serie A,22-072,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,2,2,000,000,000,000,000,000,000,000,000,000,Partidas,bfc359ed"
"574,Danny da Costa,de GER,ZG,Mainz 05,de Bundesliga,29-268,1993,17,11,980,10.9,0,2,2,0,0,0,0,0,0.2,0.2,0.9,11,30,49,66,000,018,018,000,018,002,008,010,002,010,Partidas,5ddb8f9f"
"575,David Pereira da Costa,pt POR,LTAT,Lens,fr Ligue 1,22-092,2001,27,16,1.363,15.1,1,3,4,1,0,0,2,0,2.7,2.7,3.9,66,60,111,132,007,020,026,007,026,018,026,044,018,044,Partidas,59948ef7"
"576,Diego Costa,es ESP,AT,Wolves,eng Premier League,34-182,1988,15,9,737,8.2,0,0,0,0,0,0,2,1,2.2,2.2,0.3,25,11,5,39,000,000,000,000,000,027,004,031,027,031,Partidas,a190d597"
"577,Jaume Costa,es ESP,ZG,Mallorca,es La Liga,35-020,1988,23,23,1.930,21.4,0,1,1,0,0,0,8,0,1.0,1.0,1.7,28,46,58,104,000,005,005,000,005,005,008,013,005,013,Partidas,808d48f3"
"578,Logan Costa,cv CPV,ZGLT,Toulouse,fr Ligue 1,22-006,2001,2,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,2,0,000,000,000,000,000,000,000,000,000,000,Partidas,bfb2056e"
"579,Nuno da Costa,cv CPV,ATLT,Auxerre,fr Ligue 1,32-056,1991,24,14,1.369,15.2,3,3,6,3,0,0,5,1,3.0,3.0,2.5,55,19,23,89,020,020,039,020,039,020,016,036,020,036,Partidas,909222de"
"580,Samu Costa,pt POR,LT,Almería,es La Liga,22-131,2000,21,14,1.334,14.8,1,0,1,1,0,0,4,0,1.3,1.3,0.5,18,5,62,16,007,000,007,007,007,008,003,012,008,012,Partidas,76c2a023"
"581,Benoît Costil,fr FRA,G,Auxerre,fr Ligue 1,35-278,1987,19,19,1.710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,1,0,000,000,000,000,000,000,000,000,000,000,Partidas,2434f24a"
"582,Vladimír Coufal,cz CZE,ZG,West Ham,eng Premier League,30-228,1992,19,16,1.454,16.2,0,0,0,0,0,0,4,0,0.3,0.3,1.6,19,43,72,78,000,000,000,000,000,002,010,012,002,012,Partidas,fdf3cb77"
"583,Lassana Coulibaly,ml MLI,LT,Salernitana,it Serie A,26-362,1996,26,25,2.146,23.8,2,2,4,2,0,0,9,0,0.5,0.5,1.3,18,36,90,48,008,008,017,008,017,002,005,007,002,007,Partidas,85a44ecc"
"584,Tanguy Coulibaly,fr FRA,ATZG,Stuttgart,de Bundesliga,22-048,2001,8,0,227,2.5,1,0,1,1,0,0,1,0,0.3,0.3,0.4,07,11,10,24,040,000,040,040,040,014,014,028,014,028,Partidas,05ba9d7c"
"585,Thibaut Courtois,be BEL,G,Real Madrid,es La Liga,30-331,1992,21,21,1.890,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,04,0,0,0,000,000,000,000,000,000,002,002,000,002,Partidas,1840e36d"
"586,Mathieu Coutadeur,fr FRA,LT,Ajaccio,fr Ligue 1,37-018,1986,19,16,1.432,15.9,0,0,0,0,0,0,1,0,0.1,0.1,0.6,06,17,87,19,000,000,000,000,000,000,004,004,000,004,Partidas,ef8ae23b"
"587,Philippe Coutinho,br BRA,LTAT,Aston Villa,eng Premier League,30-299,1992,20,7,788,8.8,1,0,1,1,0,0,3,0,1.4,1.4,0.5,18,18,48,68,011,000,011,011,011,016,005,021,016,021,Partidas,0ef89a37"
"588,Yan Couto,br BRA,ZGLT,Girona,es La Liga,20-308,2002,14,7,684,7.6,0,1,1,0,0,0,1,0,0.3,0.3,1.1,14,33,37,49,000,013,013,000,013,004,014,018,004,018,Partidas,1944818c"
"589,Conor Coventry,ie IRL,LTAT,West Ham,eng Premier League,23-013,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,a5ca9127"
"590,Nicolas Cozza,fr FRA,ZG,Montpellier,fr Ligue 1,24-089,1999,17,14,1.277,14.2,2,1,3,2,0,0,3,0,1.4,1.4,0.8,21,20,48,34,014,007,021,014,021,010,005,015,010,015,Partidas,8f325097"
"591,Nicolas Cozza,fr FRA,ZG,Wolfsburg,de Bundesliga,24-089,1999,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,8f325097"
"592,Alessio Cragno,it ITA,G,Monza,it Serie A,28-283,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,f554e29b"
"593,Aaron Cresswell,eng ENG,ZG,West Ham,eng Premier League,33-113,1989,20,17,1.581,17.6,0,0,0,0,0,0,2,0,0.3,0.3,2.6,29,27,123,69,000,000,000,000,000,002,015,017,002,017,Partidas,4f974391"
"594,Bryan Cristante,it ITA,LT,Roma,it Serie A,28-035,1995,26,26,2.170,24.1,1,1,2,1,0,0,6,1,1.1,1.1,1.0,21,13,115,23,004,004,008,004,008,005,004,009,005,009,Partidas,16657b95"
"595,Domen Črnigoj,si SVN,LT,Salernitana,it Serie A,27-140,1995,7,4,296,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.4,05,2,3,9,000,000,000,000,000,003,013,016,003,016,Partidas,22cd43d2"
"596,Juan Cruz Armada,es ESP,ZG,Osasuna,es La Liga,30-253,1992,20,18,1.623,18.0,0,0,0,0,0,0,6,0,0.2,0.2,1.0,12,15,56,53,000,000,000,000,000,001,005,006,001,006,Partidas,a56da3ba"
"597,Juan Cruz,es ESP,AT,Betis,es La Liga,22-347,2000,5,1,174,1.9,1,0,1,1,0,0,0,0,0.5,0.5,0.1,06,7,1,14,052,000,052,052,052,023,007,030,023,030,Partidas,cc2dd8a5"
"598,Juan Cuadrado,co COL,ZGAT,Juventus,it Serie A,34-316,1988,22,17,1.385,15.4,1,3,4,1,0,0,3,1,1.2,1.2,2.3,35,30,55,91,006,019,026,006,026,008,015,022,008,022,Partidas,0ab1f153"
"599,Marc Cucurella,es ESP,ZG,Chelsea,eng Premier League,24-259,1998,23,20,1.604,17.8,0,2,2,0,0,0,3,0,0.4,0.4,0.6,10,29,72,59,000,011,011,000,011,002,004,006,002,006,Partidas,1daec722"
"600,Jorge Cuenca,es ESP,ZG,Villarreal,es La Liga,23-141,1999,7,4,362,4.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,03,6,20,0,000,000,000,000,000,006,002,008,006,008,Partidas,0abc51f2"
"601,Braian Cufré,ar ARG,ZG,Mallorca,es La Liga,26-113,1996,5,2,220,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,3,7,9,000,000,000,000,000,004,001,005,004,005,Partidas,192c89a6"
"602,Mickaël Cuisance,fr FRA,LT,Sampdoria,it Serie A,23-234,1999,7,7,432,4.8,0,0,0,0,0,0,1,0,0.3,0.3,0.5,09,9,15,21,000,000,000,000,000,007,011,018,007,018,Partidas,5722eced"
"603,Matheus Cunha,br BRA,AT,Wolves,eng Premier League,23-315,1999,10,6,516,5.7,1,0,1,1,0,0,0,0,1.3,1.3,0.4,17,6,10,29,017,000,017,017,017,023,007,030,023,030,Partidas,dc62b55d"
"604,Matheus Cunha,br BRA,ATLT,Atlético Madrid,es La Liga,23-315,1999,11,2,377,4.2,0,2,2,0,0,0,2,0,1.4,1.4,0.8,22,6,7,19,000,048,048,000,048,034,020,053,034,053,Partidas,dc62b55d"
"605,Curro,es ESP,LT,Almería,es La Liga,27-094,1996,2,0,43,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,03,1,1,1,000,000,000,000,000,019,044,063,019,063,Partidas,f9a225f5"
"606,Marco D'Alessandro,it ITA,ZGAT,Monza,it Serie A,32-049,1991,8,3,290,3.2,0,0,0,0,0,0,2,0,0.3,0.3,0.2,05,14,3,19,000,000,000,000,000,010,006,016,010,016,Partidas,060606ec"
"607,Danilo D'Ambrosio,it ITA,ZG,Inter,it Serie A,34-210,1988,9,2,280,3.1,0,1,1,0,0,0,2,1,0.0,0.0,0.6,06,4,15,9,000,032,032,000,032,000,019,019,000,019,Partidas,44eb9093"
"608,Luca D'Andrea,it ITA,AT,Sassuolo,it Serie A,18-213,2004,5,5,316,3.5,0,1,1,0,0,0,0,0,0.3,0.3,0.8,11,11,9,29,000,028,028,000,028,008,023,031,008,031,Partidas,f778fe3f"
"609,Damien Da Silva,fr FRA,ZG,Lyon,fr Ligue 1,34-325,1988,7,3,338,3.8,0,0,0,0,0,0,2,0,0.1,0.1,0.0,01,2,18,1,000,000,000,000,000,003,000,003,003,003,Partidas,1ec7e1c5"
"610,Moanes Dabbur,il ISR,AT,Hoffenheim,de Bundesliga,30-328,1992,16,5,661,7.3,5,1,6,5,0,0,2,1,2.7,2.7,0.9,37,7,29,42,068,014,082,068,082,037,012,050,037,050,Partidas,eac044ad"
"611,Colin Dagba,fr FRA,ZG,Strasbourg,fr Ligue 1,24-210,1998,16,9,710,7.9,0,0,0,0,0,0,2,0,0.1,0.1,0.7,08,23,25,40,000,000,000,000,000,001,009,011,001,011,Partidas,29c02c9f"
"612,Finn Dahmen,de GER,G,Mainz 05,de Bundesliga,25-011,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,dee3013b"
"613,Mahmoud Dahoud,de GER,LT,Dortmund,de Bundesliga,27-096,1996,9,4,337,3.7,0,0,0,0,0,0,1,0,0.4,0.4,0.5,09,5,25,4,000,000,000,000,000,012,013,024,012,024,Partidas,db4ed67b"
"614,Patson Daka,zm ZAM,AT,Leicester City,eng Premier League,24-180,1998,22,12,936,10.4,4,3,7,4,0,0,2,0,2.8,2.8,2.4,52,14,15,61,038,029,067,038,067,027,023,050,027,050,Partidas,ca45605e"
"615,Thijs Dallinga,nl NED,AT,Toulouse,fr Ligue 1,22-247,2000,28,22,1.723,19.1,11,1,12,11,0,0,4,0,7.6,7.6,1.6,92,18,26,125,057,005,063,057,063,040,009,048,040,048,Partidas,b70afb45"
"616,Diogo Dalot,pt POR,ZG,Manchester Utd,eng Premier League,24-020,1999,20,19,1.700,18.9,0,2,2,0,0,0,5,0,1.7,1.7,1.8,35,40,71,61,000,011,011,000,011,009,010,019,009,019,Partidas,d9565625"
"617,Muhammed Damar,de GER,LT,Hoffenheim,de Bundesliga,18-363,2004,6,1,159,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,03,2,9,7,000,000,000,000,000,006,009,015,006,015,Partidas,d3d77413"
"618,Mikkel Damsgaard,dk DEN,LTAT,Brentford,eng Premier League,22-278,2000,18,6,655,7.3,0,0,0,0,0,0,3,0,0.6,0.6,0.9,16,6,30,31,000,000,000,000,000,009,013,022,009,022,Partidas,215f3907"
"619,Flavius Daniliuc,at AUT,ZG,Salernitana,it Serie A,21-345,2001,19,17,1.571,17.5,0,2,2,0,0,0,6,0,0.6,0.6,0.2,08,9,49,4,000,011,011,000,011,003,001,004,003,004,Partidas,7ef972c3"
"620,Flavius Daniliuc,at AUT,ZG,Nice,fr Ligue 1,21-345,2001,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,01,2,4,3,000,000,000,000,000,000,005,005,000,005,Partidas,7ef972c3"
"621,Danilo,br BRA,LT,Nott'ham Forest,eng Premier League,21-343,2001,5,4,288,3.2,0,1,1,0,0,0,1,0,0.2,0.2,0.3,05,4,15,7,000,031,031,000,031,007,008,015,007,015,Partidas,a816dbfb"
"622,Danilo,br BRA,ZG,Juventus,it Serie A,31-266,1991,28,27,2.443,27.1,3,3,6,3,0,0,4,0,2.0,2.0,2.3,43,27,117,34,011,011,022,011,022,007,008,016,007,016,Partidas,94b2001f"
"623,Arnaut Danjuma,nl NED,AT,Tottenham,eng Premier League,26-066,1997,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,2,0,5,000,000,000,000,000,000,029,029,000,029,Partidas,f08490a6"
"624,Arnaut Danjuma,nl NED,AT,Villarreal,es La Liga,26-066,1997,10,6,479,5.3,2,0,2,1,1,1,0,0,2.7,1.9,0.4,23,12,2,35,038,000,038,019,019,050,007,058,036,043,Partidas,f08490a6"
"625,Kevin Danso,at AUT,ZG,Lens,fr Ligue 1,24-200,1998,29,29,2.610,29.0,1,1,2,1,0,0,7,0,2.4,2.4,0.9,33,25,135,2,003,003,007,003,007,008,003,011,008,011,Partidas,6e33125f"
"626,Dante,br BRA,ZG,Nice,fr Ligue 1,39-171,1983,28,28,2.520,28.0,1,2,3,1,0,0,4,0,1.1,1.1,1.1,22,8,109,2,004,007,011,004,011,004,004,008,004,008,Partidas,fd2bc67d"
"627,Márton Dárdai,de GER,ZG,Hertha BSC,de Bundesliga,21-054,2002,11,5,533,5.9,1,0,1,1,0,0,1,0,0.1,0.1,0.2,02,2,16,0,017,000,017,017,017,001,003,004,001,004,Partidas,41bff4fa"
"628,Sergi Darder,es ESP,LT,Espanyol,es La Liga,29-106,1993,27,27,2.403,26.7,4,2,6,4,0,0,3,0,2.0,2.0,5.0,70,85,162,56,015,007,022,015,022,007,019,026,007,026,Partidas,070a3904"
"629,Achraf Dari,ma MAR,ZG,Brest,fr Ligue 1,23-336,1999,18,15,1.317,14.6,1,0,1,1,0,0,1,0,0.4,0.4,0.0,04,3,33,1,007,000,007,007,007,002,000,003,002,003,Partidas,5069b796"
"630,Vladimír Darida,cz CZE,LT,Hertha BSC,de Bundesliga,32-242,1990,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,0,1,000,000,000,000,000,000,000,000,000,000,Partidas,3eb0f2df"
"631,Matteo Darmian,it ITA,ZG,Inter,it Serie A,33-126,1989,23,19,1.531,17.0,1,2,3,1,0,0,3,0,1.0,1.0,1.7,27,14,65,84,006,012,018,006,018,006,010,016,006,016,Partidas,96e0490d"
"632,Josh Dasilva,eng ENG,LT,Brentford,eng Premier League,24-166,1998,28,12,1.168,13.0,3,2,5,3,0,0,1,0,1.0,1.0,1.4,24,49,54,49,023,015,039,023,039,008,011,019,008,019,Partidas,60344e4f"
"633,Jonathan David,ca CAN,AT,Lille,fr Ligue 1,23-083,2000,28,27,2.373,26.4,19,4,23,13,6,7,4,0,18.1,12.6,4.8,174,51,62,220,072,015,087,049,064,069,018,087,048,066,Partidas,ce50fd99"
"634,Alphonso Davies,ca CAN,ZG,Bayern Munich,de Bundesliga,22-156,2000,23,22,1.913,21.3,1,4,5,1,0,0,0,0,1.5,1.5,3.4,49,109,117,145,005,019,024,005,024,007,016,023,007,023,Partidas,d781d855"
"635,Ben Davies,wls WAL,ZG,Tottenham,eng Premier League,29-348,1993,25,21,1.831,20.3,2,2,4,2,0,0,3,0,1.0,1.0,2.3,33,30,96,54,010,010,020,010,020,005,011,016,005,016,Partidas,44781702"
"636,Tom Davies,eng ENG,LT,Everton,eng Premier League,24-281,1998,17,4,485,5.4,0,0,0,0,0,0,3,0,1.2,1.2,0.1,13,2,27,11,000,000,000,000,000,021,003,024,021,024,Partidas,9228b07c"
"637,Paweł Dawidowicz,pl POL,ZG,Hellas Verona,it Serie A,27-322,1995,17,15,1.220,13.6,1,1,2,1,0,0,5,1,1.1,1.1,0.8,19,18,45,14,007,007,015,007,015,008,006,014,008,014,Partidas,16bb656a"
"638,Craig Dawson,eng ENG,ZG,West Ham,eng Premier League,32-336,1990,8,8,720,8.0,0,0,0,0,0,0,2,0,0.5,0.5,0.1,06,0,18,1,000,000,000,000,000,006,001,007,006,007,Partidas,3e9e06cb"
"639,Craig Dawson,eng ENG,ZG,Wolves,eng Premier League,32-336,1990,9,9,739,8.2,1,0,1,1,0,0,2,0,0.6,0.6,0.0,06,2,22,1,012,000,012,012,012,007,000,007,007,007,Partidas,3e9e06cb"
"640,Kevin De Bruyne,be BEL,LT,Manchester City,eng Premier League,31-283,1991,26,23,2.028,22.5,5,13,18,5,0,0,1,0,4.9,4.9,11.2,161,90,204,201,022,058,080,022,080,022,050,071,022,071,Partidas,e46012d4"
"641,Charles De Ketelaere,be BEL,LT,Milan,it Serie A,22-028,2001,24,7,880,9.8,0,1,1,0,0,0,2,0,1.7,1.7,1.9,36,38,46,48,000,010,010,000,010,017,019,036,017,036,Partidas,2ef7c612"
"642,Manuel De Luca,it ITA,ATLT,Sampdoria,it Serie A,24-264,1998,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,4,000,000,000,000,000,000,000,000,000,000,Partidas,60e3603d"
